,Unnamed: 0,summary,document,label
250,250,germany set for another banking mega-deal,"in what would be the third mega-deal in german retail banking in two months , deutsche bank has confirmed it is looking at an acquisition that would more than double its high street customer base .",0
251,251,yemen activists freed but top socialist still held,"yemeni president ali abdullah saleh on thursday freed a dozen opposition activists jailed on charges of inciting unrest but a senior socialist politician remained behind bars , opposition and human rights sources said .",0
252,252,fire closes channel tunnel,"train traffic through the channel tunnel linking england and france was halted on thursday after a fire broke out , eurotunnel officials said .",1
253,253,eu deputies seek to limit use of biofuels,european parliamentarians on thursday approved eu plans to decrease greenhouse gas emissions by ## percent but called for stricter limits to be set on the controversial use of biofuels .,0
254,254,us director to make documentary on sarkozy,"president nicolas sarkozy 's `` soap opera '' love life and the radical change he is bringing to france will be brought to the big screen next year in a documentary , the film 's us director said thursday .",0
255,255,pentagon dedicates first september ## memorial,"president george w. bush dedicated the first september ## memorial thursday at the pentagon , hailing the `` heroes of #\/## '' and the absence of terrorist attacks on us soil in the seven years since .",0
256,256,three international soldiers killed in afghanistan,"two international soldiers fighting taliban-linked insurgents were killed in afghanistan thursday , their forces said , as britain announced one of its troops had died a day earlier .",1
257,257,banking jitters pressure wall street,us stocks swung lower thursday amid heightened jitters about the financial sector as investment giant lehman brothers battled for survival .,1
258,258,four dead as two suicide blasts hit afghanistan,"two taliban-style suicide blasts struck afghanistan thursday , killing at least four afghans and wounding about a dozen more , government officials said .",0
259,259,germany set for another banking mega-deal,"in what would be the third mega-deal in german retail banking in two months , deutsche bank has confirmed it is looking at an acquisition that would more than double its high street customer base .",0
260,260,ryanair plane in dublin airport take-off incident,"a ryanair flight was forced to return to dublin airport on thursday after the plane 's tail hit the runway as it took off for london , an airport authority spokeswoman said .",0
261,261,cuba 's castro wins safrican humanitarian award,south africa thursday said it has given its #### humanitarian award to former cuban president fidel castro for his contributions to `` humankind beyond boundaries .,0
262,262,iran rejects us shipping accusations,"iran on thursday rejected us accusations that the iranian shipping company UNK was involved in tehran 's alleged nuclear weapons program , the official news agency irna reported .",0
263,263,lawyer says suu kyi in good health,"aung san suu kyi 's lawyer said thursday that he had held `` positive '' talks with the detained democracy leader and that she appeared in good health , after reports she was not accepting food .",0
264,264,french writer houellebecq 's film gets thumbs-down,"the film debut by one of france 's most provocative writers , michel houellebecq , has been panned by critics following its release in france .",1
265,265,energy group eon signs deal to connect with british power grid,"german energy group eon , which wants to build nuclear power stations in britain , on thursday signed an agreement enabling it to connect with the british national power network , an eon spokesman said .",0
266,266,eu finance chiefs brace for recession fight,averting a recession in europe will be the burning issue for eu finance chiefs meeting friday and saturday on the french riviera as the euro and stocks tumble on fears of a downturn .,0
267,267,russia slams unfriendly ukraine,"russia condemned thursday the `` unfriendly '' stance of ukraine over the war in georgia and its treatment of ethnic russians , fuelling tensions in what is feared could be the region 's next flashpoint .",0
268,268,desperate cuba charges us is lying on storm aid,"reeling from almost nationwide destruction from hurricanes gustav and ike , cash - strapped communist cuba thursday charged the united states was `` lying '' about its stated willingness to help .",0
269,269,chocolate magnate klaus jacobs dies at ##,"german-born swiss chocolate magnate klaus jacobs , who for many years ran the company making the famous UNK bars , died thursday aged ## , swiss news agency ats reported .",0
270,270,serbia determined to nab mladic president tells un prosecutor,serbia said thursday it is `` determined '' to arrest bosnian serb genocide suspect ratko mladic as the un chief war crimes prosecutor left belgrade optimistic about the case crucial to the country 's eu aspirations .,0
271,271,chavez orders probe into suspected coup plot,venezuelan president hugo chavez said thursday he has ordered a probe into a suspected coup plot allegedly involving active and retired military officers .,0
272,272,oil prices slide to six-month lows under ## dollars,"oil prices tumbled to six-month lows below ## dollars on thursday as the dollar rallied and the likelihood of a sharp global economic slowdown loomed over demand growth , traders said .",0
273,273,tears political truce mark #\/## anniversary,survivors mourned at new york 's ground zero on thursday as john mccain and barack obama suspended their rancorous white house campaign to commemorate the seventh anniversary of the #\/## attacks .,1
274,274,belgian far-right slams islamisation of europe on attacks anniversary,"belgium 's far-right vlaams belang party denounced thursday what it called the `` islamisation of europe '' at a ceremony to mark the anniversary of the september ## , #### attacks in the united states .",0
275,275,murder of lebanon politician threatens reconciliation bid,the killing of a lebanese politician in the first such attack against a pro- syrian figure jeopardises national reconciliation efforts already undermined by deep rifts between rival factions .,0
276,276,lehman shares slide further as survival prospects dim,lehman brothers shares plunged further thursday as fears intensified about the survival of the troubled wall street investment giant .,0
277,277,israeli police find girl 's body in suitcase,police on thursday found a suitcase thought to contain the remains of a little french girl allegedly murdered by her israeli grandfather and dumped in a river in a grisly case that has shocked the country .,1
278,278,afp middle east news agenda,"iran on thursday rejected us accusations that the iranian shipping company UNK was involved in tehran 's alleged nuclear weapons program , the official news agency irna reported .",2
279,279,eu deputies seek to limit use of biofuels,european parliamentarians on thursday approved eu plans to decrease greenhouse gas emissions by ## percent but called for stricter limits to be set on the controversial use of biofuels .,0
280,280,dissident welcomes extension of poison umbrella inquiry,bulgaria 's decision to extend the probe of the #### `` umbrella killing '' of dissident georgy markov was welcomed thursday by another bulgarian dissident who survived a similar attack .,1
281,281,nato chief to riga for baltic talks on russia georgia,"nato secretary general jaap de hoop scheffer will travel to latvia friday for talks with foreign ministers from the baltic states , amid growing concern there about russia 's actions in georgia .",1
282,282,two nato soldiers killed in afghanistan,"a bomb blast and an attack on a combat post killed two nato soldiers in afghanistan , one of them british , the alliance 's international security assistance force and british military said thursday .",0
283,283,new UNK commission to meet on monday,"a new UNK commission set up after the former soviet republic 's clash with russia will meet for the first time next week , an alliance spokesman said thursday .",1
284,284,five on trial for us diplomat murder wanted to kill americans,"five islamists accused of killing a us diplomat and his driver in the sudanese capital on new year 's day told police they had wanted to `` kill americans , '' a court heard on thursday .",0
285,285,eritrea slams canada for denying fm a visa,eritrea on thursday slammed a `` hostile '' canada for denying its foreign minister a visa over his participation in the country 's three-decade independence war against ethiopia .,0
286,286,spain backs eu-central america trade agreement,spain on thursday backed efforts by six central american nations to reach an association and free trade agreement with the ##-nation european union .,0
287,287,pentagon dedicates first september ## memorial,"thousands gathered to dedicate the first september ## memorial thursday , observing a moment of silence at the instant seven years ago when an airliner slammed into the pentagon , killing ### people and five hijackers .",1
288,288,british conservative leader gets the time treatment,"britain 's opposition conservative leader david cameron , whose party is enjoying a clear lead over the governing labor party , is being presented to the world this week on the cover of time magazine .",0
289,289,ground zero ceremony starts in new york,"ceremonies began thursday at new york 's ground zero , also due to be visited by white house rivals barack obama and john mccain on the seventh anniversary of the #\/## attacks .",0
290,290,us director to make documentary on sarkozy,"the radical reforms that nicolas sarkozy is carrying out in france and the president 's `` soap opera '' love life will be brought to the big screen in a documentary , the film 's us director said thursday .",0
291,291,alitalia unions investors in talks on airline 's future,unions at alitalia and investors who want to reorganise the ailing italian carrier were locked in talks thursday on a plan seen as a last-ditch bid to save the company from bankruptcy .,0
292,292,zimbabwe rivals moving closer to deal,zimbabwe 's deadlocked political rivals entered a fourth day of talks on thursday with signs that president robert mugabe and opposition leader morgan tsvangirai were inching towards an agreement .,0
293,293,spanish foreign minister set for mideast tour,"spanish foreign minister miguel angel moratinos will friday begin a six-day middle east tour with stops in egypt , israel , jordan , syria and the palestinian territories , his ministry said .",0
294,294,banking jitters send wall street tumbling,us stocks opened with heavy losses thursday amid heightened jitters about the financial sector and a weakening global economy .,0
295,295,lavrov accuses us of trying to encircle russia with shield,"russian foreign minister sergei lavrov accused the united states on thursday of seeking to encircle russia , and reiterated moscow 's opposition to us plans to install a missile shield on polish soil .",0
296,296,barbed wire comes down at russian positions in georgia,russian troops on thursday were seen dismantling positions near the western georgian towns of poti and UNK in line with an agreement brokered in moscow by eu leaders this week .,1
297,297,lehman shares slide further as survival prospects dim,lehman brothers shares plunged anew thursday as fears intensified about the survival of the troubled wall street investment giant .,0
298,298,five on trial for us diplomat murder wanted to kill americans,"five islamists accused of killing a us diplomat and his driver in the sudanese capital on new year 's day told police they had wanted to `` kill americans , '' a court heard on thursday .",0
299,299,zimbabwe talks stuck at the same point says mugabe,"power-sharing talks between zimbabwe 's political rivals are still stuck at the same point , president robert mugabe said thursday , despite his recent hints that a deal was imminent .",0
300,300,serbia wants eu to kickstart stalled pact,serbia on thursday said a stalled pact on its european union aspirations should be kickstarted now as it had fully complied with a un tribunal investigating war crimes in the former yugoslavia .,0
301,301,medvedev orders russian government to help strained markets,president dmitry medvedev on thursday ordered the government and central bank to boost funds flowing into financial markets after a four-month slump that has seen the stock exchange fall by nearly half .,1
302,302,pentagon dedicates first september ## memorial,"thousands gathered to dedicate the first september ## memorial thursday , observing a moment of silence at the instant seven years ago when an airliner slammed into the pentagon , killing ### people and five hijackers .",1
303,303,kuwaiti shares nosedive on cash drain,"kuwaiti stocks ended the week through thursday down six percent on lack of cashflow drained by huge ipos and a strict monetary policy to combat inflation , analysts said .",1
304,304,us trade deficit rises to ##.# bln dlrs in july,"the us trade deficit rose by a worse-than-expected six percent in july to ##.# billion dollars on high oil prices and surging chinese imports , the commerce department said thursday .",2
305,305,moment of silence observed for victims of pentagon attack,"thousands observed a moment of silence at the pentagon thursday at the instant seven years ago when an american airlines jet slammed into the military headquarters , killing ### people and five hijackers .",0
306,306,afghanistan welcomes war on terror shift on #\/## anniversary,"afghan president hamid karzai thursday welcomed a new us `` war on terror '' focus on pakistan 's border areas as further deadly violence underscored rampant militancy seven years after the september ## , #### attacks .",0
307,307,hopes fade for several hundred missing in china landslide,"several hundred people believed missing after a landslide engulfed a chinese town are likely dead , state press said thursday , citing a senior official , as the official toll rose to ### .",0
308,308,eu parliament set to use european flag anthem,"the eu parliament is set next month to use the european union flag , anthem and motto for all formal business following a committe vote on thursday .",0
309,309,banking jitters send wall street tumbling,us stocks opened with heavy losses thursday amid heightened jitters about the financial sector and a weakening global economy .,0
310,310,zimbabwe talks still deadlocked says mugabe,"power-sharing talks between zimbabwe 's political rivals are still deadlocked , president robert mugabe said thursday , despite recent signs that a deal was imminent .",0
311,311,palin gives mccain a jolt in vital swing states,"republican vice presidential pick sarah palin has given party nominee john mccain a jolt in several critical election battlegrounds , notably among white women voters , new polls found thursday .",1
312,312,russia turns diplomatic fire over georgia on ukraine,russian troops labored thursday over a tentative pull-out from georgia as moscow vowed to rearm its military after last month 's war and turned its diplomatic fire on ukraine .,0
313,313,renault workers protest planned job cuts,"workers at french carmaker renault walked off the job at some factories on thursday to protest a plan to cut #,### jobs in france .",0
314,314,us trade deficit rises to ##.# bln dlrs in july,"the us trade deficit rose nearly six percent in july to ##.# billion dollars on surging oil and chinese imports , the commerce department said thursday .",2
315,315,deadly ike eyes texas could strengthen before strike,"thousands of people fled the texas gulf coast thursday as deadly hurricane ike bore down , with forecasters warning the sprawling storm could gain added force before it crashes into the coast near houston , the key us oil hub and major space center .",0
316,316,ground zero ceremony starts in new york,"ceremonies began thursday at new york 's grand zero , also due to be visited by white house rivals barack obama and john mccain on the seventh anniversary of the #\/## attacks .",0
317,317,israeli police find girl 's body in suitcase,police on thursday found a suitcase thought to contain the remains of a little french girl allegedly murdered by her israeli grandfather and dumped in a river in a grisly case that has shocked the country .,1
318,318,murder of lebanon politician threatens reconciliation bid,the killing of a lebanese politician in the first such attack against a pro- syrian figure jeopardises national reconciliation efforts already undermined by deep rifts between rival factions .,0
319,319,iceland holds key interest rate at ##.# percent,iceland 's central bank said thursday it was holding its key interest rate at ##.# percent as the statistics office announced strong second quarter growth figures and high inflation in august .,0
320,320,cyprus rivals begin key phase of peace talks,"rival cypriot leaders began talks on thursday on how to share power in a future unified state , their first UNK negotiations in a bid to end the mediterranean island 's ##-year division .",0
321,321,britain wants zimbabwe deal reflecting opposition victory,"zimbabwe must forge a power-sharing deal that reflects the outcome of the first set of elections this year which were won by the opposition , british prime minister gordon brown said thursday .",1
322,322,moment of silence observed for victims of pentagon attack,"thousands observed a moment of silence at the pentagon thursday at the instant seven years ago when an american airlines jet slammed into the military headquarters , killing ### people and five hijackers .",0
323,323,india 's inflation dips slightly for third successive week,"india 's inflation rate has slowed for a third consecutive week , official data showed thursday , but remained above the ## percent mark .",1
324,324,eu welcomes google move on data stocking,the european commission welcomed as a `` good step '' thursday the decision by internet giant google to halve the time that it keeps certain private web search data .,0
325,325,ground zero ceremony starts in new york,"ceremonies began thursday at new york 's grand zero , also due to be visited by white house rivals barack obama and john mccain on the seventh anniversary of the #\/## attacks .",1
326,326,dissident welcomes extension of poison umbrella inquiry,bulgaria 's decision to extend the probe of the #### `` umbrella killing '' of dissident georgy markov was welcomed thursday by another bulgarian dissident who survived a similar attack .,0
327,327,german ad council slams campaigns with naked women hitler,a meat company in germany that advertised its wares with the image of a naked woman emblazoned across its delivery trucks came under fire wednesday from an industry watchdog .,1
328,328,zimbabwe cholera outbreak kills ##,"a cholera outbreak in a harare suburb has killed at least ## people , zimbabwe 's health minister said thursday .",0
329,329,five arrested in france after tip-off on plot,"police arrested five men in western france thursday following a tip-off about a possible terror plot , a source close to the case said .",0
330,330,us trade deficit rises to ##.# bln dlrs in july,"the us trade deficit rose in july , to ##.# billion dollars from ##.# billion in the prior month , the commerce department said thursday .",2
331,331,maldives economy to slow in #### says imf,"economic growth in the tourist paradise of maldives is expected to slow this year as double-digit inflation curtails a construction boom , the international monetary fund said thursday .",0
332,332,serbia seeks un members support for kosovo legal challenge,"serbian president boris tadic is asking un member nations to support a move to seek the international court of justice 's opinion on kosovo 's independence , his office said thursday .",0
333,333,pakistan pm backs army chief on us-led raids,pakistan prime minister yousuf raza gilani thursday offered staunch support for the country 's army chief after he criticised us-led coalition raids in the tribal belt bordering afghanistan .,0
334,334,european stocks tumble amid weak global economy,"european stock markets slumped on thursday in the wake of heavy falls in asia , pulled down by sharp losses for the banks as the global economic outlook turns darker still , traders said .",0
335,335,bangladesh 's former pm says party will contest polls,former bangladeshi prime minister khaleda zia announced thursday after her release from jail that her party will take part in upcoming elections that will restore democracy in the emergency-ruled country .,1
336,336,french prime minister rules out consumption boost for economy,french prime minister francois fillon insisted on thursday that the centre-right government would not boost consumption to stimulate a slowing french economy .,0
337,337,sri lanka slams un chief,"un secretary general ban ki-moon came in for tough criticism thursday from sri lanka 's government , which accused him of unwittingly helping tamil tiger rebels .",0
338,338,health scare in china over infant milk powder,china was facing a nationwide infant health scare on thursday as reports spread of babies hospitalised with kidney stones after drinking a suspected sub - standard milk formula .,0
339,339,cairo rockslide toll climbs to ##,"at least ## people were killed in a massive rockslide that crushed dozens of homes in a cairo slum at the weekend , a security official said on thursday , with the toll expected to rise further .",0
340,340,ecb 's noyer says european banks strong but risks remain,"european banks are solid enough to cope with further financial sector turmoil but risks of new shocks can not be ruled out , bank of france governor and european central bank board member christian noyer said thursday .",0
341,341,syria condemns lebanon deadly car bombing,syria on thursday denounced the murder of a pro-syrian lebanese politician as a terrorist act aimed at undermining security in its neighbor ahead of planned multi-party reconciliation talks .,1
342,342,hopes fade for several hundred missing in china landslide,"several hundred people believed missing after a landslide engulfed a chinese town are likely dead , with ### already confirmed killed , state press said thursday , citing a senior official .",0
343,343,french far-right leader le pen hints at retirement,"france 's veteran far-right leader jean-marie le pen hinted he could leave politics , saying in an interview published thursday he was not planning a sixth run for the french presidency in #### .",0
344,344,cyprus rivals begin key phase of peace talks,"rival cypriot leaders began talks on thursday on how they would share power in a future unified state , their first UNK negotiations in a bid to end the mediterranean island 's ##-year division .",0
345,345,indian shares close down #.## percent,"indian shares fell #.## percent on thursday as investors ignored overnight gains on wall street , on concerns that more bad news could emerge from the us financial sector , dealers said .",1
346,346,eu says google cut in holding UNK data is a good move,the european commission welcomed as a `` good step '' on thursday the decision by internet giant google to halve the time for which it keeps certain private web - search data .,0
347,347,ntt docomo invests in irish maritime service,"japan 's top mobile operator ntt docomo inc. said thursday it was buying part of an irish company focused on communications at sea , as it increasingly looks abroad to expand and find a competitive edge .",0
348,348,medvedev orders russian government to help strained markets,"president dmitri medvedev ordered the government and central bank on thursday to boost funds flowing into strained russian financial markets , news agencies reported .",1
349,349,boycott of bollywood star called off,"a right-wing politician on thursday called off his campaign against bollywood legend amitabh bachchan , and said he would not block the release of the star 's latest film .",0
350,350,pakistan army commanders meet after us raids row,"pakistan army commanders met thursday , a day after their leader , general ashfaq kayani , strongly criticised cross-border raids by us-led coalition forces , officials said .",0
351,351,pakistan president zardari visits bhutto 's grave,"new pakistan president asif ali zardari showered rose petals on the grave of his slain wife benazir bhutto on thursday , on his first such visit here since taking office .",0
352,352,plane bomb scare was joke briton tells dubai court,"a briton who sparked a bomb alert on an emirates flight from manchester to dubai in july while he was drunk told a court in the gulf emirate that he was joking , newspapers reported on thursday .",0
353,353,irish inflation falls to #.# percent in august,"irish ##-month inflation fell to #.# percent in august from #.# percent in july , official data showed on thursday .",1
354,354,samak poised to return as thai pm two days after dismissal,"samak sundaravej was poised thursday to return as thailand 's premier just two days after a court removed him from the post , angering protesters who vowed to press their campaign to oust him .",0
355,355,grim toll of political attacks in lebanon,the murder of saleh aridi on wednesday was the latest in a long series of targeted killings in lebanon .,1
356,356,oil prices slide to six-month lows under ## dollars,"oil prices tumbled to six-month low points below ## dollars a barrel on thursday as the dollar rallied and demand for energy decreased around the world amid an economic slowdown , traders said .",0
357,357,nato military chiefs to examine state of georgian army,"nato military chiefs will examine in talks this week the state of the georgian army , which took a battering from russian forces last month , a spokesman said thursday .",0
358,358,britain vows fight on afghan frontline on #\/## anniversary,"the world must increase its pressure on the `` frontline '' against al-qaeda in afghanistan , seven years after the september ## , #### , attacks , british prime minister gordon brown said thursday .",1
359,359,malaysian shares close down #.# percent,"malaysian share prices ended #.# percent lower thursday , as investors sold off plantation and finance stocks amid a region-wide slump , dealers said .",0
360,360,italian government agrees to ban public prostitution,"the italian government on thursday agreed to outlaw prostitution in public places , recommending prison terms of up to ## days and fines of up to ##,### euros for prostitutes and their clients .",0
361,361,cyprus rivals begin key phase of peace talks,"rival cypriot leaders began negotiations thursday on the thorny issues that have kept the mediterranean island divided for ## years , in what is seen as the best chance of peace for years despite entrenched differences .",0
362,362,emergency-ruled bangladesh frees ex-premier on bail,emergency authorities in bangladesh on thursday released former prime minister khaleda zia as part of efforts to restore democracy in the south asian country by the end of the year .,0
363,363,germany set for another banking mega-deal,"in what would be the third mega-deal in german retail banking in two months , deutsche bank has confirmed it is looking at an acquisition that would more than double its high street customer base .",0
364,364,austrian far-right leader in neo-nazi scandal,"the head of austria 's far-right fpoe party , UNK strache , is under suspicion of being a neo-nazi after a magazine accused him of manipulating photos of himself in paramilitary uniform .",0
365,365,thai share prices close #.## percent lower,"thai share prices closed #.## percent lower on thursday amid ongoing concerns over a global economic slowdown , dealers said .",0
366,366,white house combatants observe ground zero truce,john mccain and barack obama were to observe a truce thursday in their increasingly bitter white house contest with a joint appearance at ground zero on the seventh anniversary of the #\/## attacks .,0
367,367,euro slides versus dollar and yen,"the euro on thursday slid below #.## dollars for the first time in a year and struck the lowest point versus the yen since september #### on heightened concerns about a weak european economy , dealers said .",0
368,368,mongolian parliament elects pm after turmoil,"mongolia laid to rest more than two months of political turmoil on thursday when parliament approved UNK bayar as prime minister , potentially paving the way for lucrative mining deals .",0
369,369,deadly ike eyes texas,"thousands of people fled the texas gulf coast thursday as deadly hurricane ike bore down , growing in power after ravaging cuba and the caribbean .",1
370,370,russian troops dismantle posts in western georgia,russian troops on thursday dismantled positions near the western georgian towns of poti and UNK in line with an agreement brokered in moscow by eu leaders this week .,0
371,371,indian shares close down #.## pct,"indian shares fell #.## percent on thursday as investors ignored overnight gains on wall street , on concerns that more bad news could emerge from the us financial sector , dealers said .",0
372,372,spanish official inflation slows sharply on oil price fall,"spanish ##-month inflation fell to #.# percent in august from #.# percent in july , final official data showed on thursday , mainly because of a fall in the price of oil .",0
373,373,russia turns diplomatic fire over georgia on ukraine,russian troops labored over a tentative pull-out from western georgia on thursday as cracks appeared in an eu-brokered truce and moscow turned its diplomatic fire on ukraine .,0
374,374,british soldier killed in afghanistan,"a british solder has been killed in an explosion in southern afghanistan , the ministry of defense in london said thursday , bringing the total british toll in the afghan conflict to ### .",0
375,375,skorea on alert for nkorea shift after kim 's stroke,south korea was on alert thursday for possible political change in its nuclear - armed neighbor following the disclosure that longtime north korean leader kim jong-il suffered a stroke .,0
376,376,liechtenstein prince denounces fourth reich germany,"liechtenstein 's prince hans-adam ii was accused thursday of UNK nazi crimes by suggesting that germany today is a `` fourth reich , '' swiss newspaper UNK reported .",1
377,377,panasonic sets new focus on global sales,japan 's matsushita electronics industrial ltd. said thursday it aimed to boost its global sales as it started a new board of `` global advisors .,0
378,378,israeli police find body thought to be murdered french girl,police said on thursday they found a suitcase thought to contain the remains of a french girl allegedly killed by her israeli grandfather and dumped in a river near tel aviv in a grisly case that shocked israel .,0
379,379,zimbabwe rivals moving closer to deal,zimbabwe 's deadlocked political rivals enter a fourth day of talks on thursday with signs that president robert mugabe and opposition leader morgan tsvangirai were inching towards an agreement .,0
380,380,australia hunts for youth shown beating kangaroo,"australian animal cruelty authorities have launched a nationwide hunt for a youth who was videotaped beating a kangaroo unconscious , officials said thursday .",0
381,381,iceland central bank holds key rate at ##.# percent,"iceland 's central bank held its key interest rate at ##.# percent on thursday , despite posting record inflation in august , the bank said .",0
382,382,taiwan unveils #.#-bln-dlr economic stimulus package,taiwan announced an economic stimulus package thursday worth #.# billion us dollars less than four months since the president took office as growth flags and the stock market struggles .,2
383,383,suicide attack in afghanistan two civilians killed,"a suicide car bomb blew up near a convoy of private security guards in afghanistan 's southern city of kandahar thursday , killing two afghan civilian passers-by , a governor 's spokesman said .",0
384,384,taiwan braces for typhoon sinlaku,taiwan 's weather bureau warned thursday of an approaching typhoon which it said was gaining momentum and sweeping toward the island .,1
385,385,zimbabwe rivals moving closer to deal,zimbabwe 's deadlocked political rivals enter a fourth day of talks on thursday with signs that president robert mugabe and opposition leader morgan tsvangirai were inching towards an agreement .,0
386,386,south ossetian leader backtracks on russia unity claims,south ossetia 's separatist leader backtracked thursday after initially saying his region would become part of russia in the wake of last month 's conflict in georgia .,1
387,387,australian dollar falls to ##-month low against greenback,"the australian dollar slipped below the crucial ## us cents barrier for the first time in ## months thursday , as investors also fled the new zealand unit after a bigger than expected rate cut .",1
388,388,zimbabwe rivals moving closer to deal,zimbabwe 's deadlocked political rivals enter a third day of talks on thursday with signs that president robert mugabe and opposition leader morgan tsvangirai were inching towards an agreement .,0
389,389,chinese shares slump #.## percent,"chinese shares slumped to close down #.## percent on thursday amid deepening fears of an economic slowdown and a lack of market-boosting policies from beijing , dealers said .",1
390,390,hong kong shares close down #.# percent,"hong kong share prices closed down #.# percent on thursday , marking an ##-month low as investors dumped shares in chinese firms amid deepening fears of a global economic slowdown , dealers said .",0
391,391,chinese shares slump #.## percent,"chinese shares slumped to close down #.## percent on thursday amid deepening fears of an economic slowdown and a lack of market-boosting policies from beijing , dealers said .",0
392,392,thai share prices close #.## pct lower,"thai share prices closed #.## percent lower on thursday on ongoing concerns over a global economic slowdown , dealers said .",0
393,393,thai army chief urges lifting state of emergency,thailand 's powerful army chief on thursday said the country 's state of emergency should be lifted as soon as possible because it was harming the public .,0
394,394,turkish airlines misses austrian airlines tender,turkish airlines -lrb- thy -rrb- said thursday it had missed a deadline for participation in a privatisation tender for a stake in austrian airlines -lrb- aua -rrb- .,0
395,395,indonesian shares close down #.# percent,"indonesian shares closed #.# percent lower thursday , hurt by a weaker rupiah and further selling in commodity-related stocks , dealers said .",0
396,396,russia slams unfriendly ukraine,"russia on thursday condemned the `` unfriendly '' stance of ukraine over the war in georgia and its treatment of ethnic russians , fuelling tensions in what is feared could be the region 's next flashpoint .",0
397,397,crew rescued as irish tall ship founders off france,"ireland 's national sail training yacht foundered off the northwestern coast of france early thursday , forcing its ## crew to take to UNK , french maritime officials said .",1
398,398,ericsson reveals contract to set up international network for c &amp; w,swedish telecommunications equipment provider ericsson said on thursday that it had signed a contract to set up and operate an international mobile phone network for british group cable &amp; wireless .,0
399,399,emergency-ruled bangladesh frees ex-premier on bail,emergency authorities in bangladesh on thursday released former prime minister khaleda zia as part of efforts to restore democracy in the south asian country by the end of the year .,0
400,400,australian politician fired for being caught with pants down,an australian state minister was forced to resign thursday just three days into the job after stripping down to his underpants and dancing at a drunken parliamentary staff party .,0
401,401,indonesian shares close down #.# percent,"indonesian shares closed #.# percent lower thursday , hurt by a weaker rupiah and further selling in commodity-related stocks , dealers said .",0
402,402,australian politician fired for being caught with pants down,an australian state minister was forced to resign thursday just three days into the job after stripping down to his underpants and dancing at a drunken parliamentary staff party .,0
403,403,australia 's qantas not rushing to cut fuel surcharge,australia 's national airline qantas said thursday it was not racing to reduce its fuel surcharges despite a big fall in global oil prices .,0
404,404,malaysian shares close down #.# percent,"malaysian share prices ended #.# percent lower thursday , in line with losses across regional markets on concerns over the us financial sector , dealers said .",0
405,405,bangladeshi man held over airplane bomb threat says official,bangladeshi authorities said thursday they have arrested a man on suspicion of writing a note stating a bomb was on board the flight he was traveling on .,0
406,406,israeli police find body of girl in grisly murder case,"police on thursday found the body of a french girl allegedly killed by her israeli grandfather , stuffed in a suitcase and thrown in a tel aviv river , radio reported .",0
407,407,iraq seeks care for would-be female bombers,iraq 's minister for women 's affairs nawal UNK urged the government on thursday to rehabilitate would-be female bombers arrested before they could carry out suicide attacks .,0
408,408,taliban kill spy tribesmen in pakistani tribal area,"taliban militants shot dead three pro-government tribesmen in a restive pakistani tribal area , accusing the victims of spying against them , officials said thursday .",0
409,409,five arrested for alleged uranium smuggling say police,"five people were arrested in india 's remote northeastern state of meghalaya for allegedly trying to smuggle uranium , police said thursday .",0
410,410,afghan leader endorses new us focus on pakistan border,"president hamid karzai endorsed thursday a new us focus on the afghan and pakistan border in its `` war on terror , '' saying it was something his government had been pushing for years .",0
411,411,british police officer sorry for bin laden carnival gaffe,"a police officer apologised thursday for wearing an osama bin laden costume to a village carnival in southwest england , days before the seventh anniversary of the september ## attacks .",0
412,412,euro slides below #.## dollars,"the euro on thursday slid below #.## dollars for the first time in a year on heightened concerns about the weak european economy , dealers said .",0
413,413,oil prices drop amid falling demand for energy,oil prices fell on thursday as demand for energy decreased around the world owing to a global economic slowdown .,0
414,414,taiwan unveils #.#-bln-dlr economic stimulus package,taiwan announced an economic stimulus package thursday worth #.# billion us dollars less than four months since the president took office as growth flags and the stock market struggles .,2
415,415,us missile shield targets russia says foreign minister,"a us missile shield planned for poland and the czech republic targets russia , rather than any potential threat from iran , russian foreign minister sergei lavrov said in an article published thursday .",0
416,416,palin goes home to see son off to war,sarah palin was back in alaska thursday to see her son off to war .,0
417,417,livni 's lead drops ahead of israel 's ruling party vote,"israeli foreign minister tzipi livni 's lead over her closest rival dropped sharply ahead of next week 's election to replace prime minister ehud olmert as ruling party leader , indicated an opinion poll out on thursday .",0
418,418,health scare in china over infant milk powder,china was facing a nationwide infant health scare on thursday as reports spread of babies hospitalised with kidney stones after drinking a suspected sub - standard milk formula .,0
419,419,infant 's corpse found in vietnam airline luggage,"a passenger about to board a plane in vietnam was carrying a dead infant 's body in his luggage , security officials at ho chi minh airport said thursday .",0
420,420,australian politician sacked for dancing in his underpants,"an australian state minister was forced to resign thursday , just three days into the job , after stripping down to his underpants and dancing at a parliamentary staff party .",0
421,421,darfur rebels spurn arab peace initiative,"darfur rebel groups dismissed on thursday an arab league initiative aimed at bringing peace to the war-ravaged western sudanese region , saying the move came five years too late .",0
422,422,obama says mccain lying over lipstick smear,barack obama sought thursday to refocus the ill-tempered white house campaign back onto voter anxieties as he castigated the `` lies and phony outrage '' of his republican foes over a farmyard taunt .,1
423,423,thai protest leader rejects samak 's return as premier,"protesters occupying thailand 's main government complex thursday blasted the ruling party 's decision to restore samak sundaravej to power , vowing to keep up their street campaign against him .",1
424,424,deadly ike eyes texas,"thousands of people fled the texas gulf coast thursday as deadly hurricane ike bore down , growing in power after ravaging cuba and the caribbean .",1
